Stars,HelpfulVotes,Review,Polarity,sentiment(Polarity)
1,2248,"It definitely has better speakers than Eco Dot Gen2 and Google Home Mini, but sound recognition is very poor compared to Google Home Mini or even previous Eco Dot. Maybe it has something to do with cost cutting and Amazon going with only 4 far field microphones instead of 7.But due to it's poor recognition, it takes a lot of time, sometimes even minutes and does nothing... Which definitely takes away the experience. Unfortunately I can't return it... But I think Google Home Mini is miles ahead and better with all the new updates to Google Assistant (Sleep assist and stuff).Update as on 27th April 2019: Software has gone from bad to worst. It plays certain songs again and again, doesn't let you skip. Recognition has also gone from bad to worst, you have to yell for Alexa to understand what you want it to do only for it to tell you it doesn't understand what you said. And expect no support from Amazon about eco devices, it's very bad.",-0.227191301,Negative
5,2965,This was launched on 11th and I got the product by 12th. Plus the reduced price due to sale and a nice smart bulb for just 500 rupees. Overall I think this was super value for money. I haven't used any other smart speaker before but I am very happy with my purchase. Below are some observations :1. Initially it feels a bit weird talking to a speaker but you get used to it in no time.2. The sound quality is pretty good. You get good depth of sound with decent bass.3. Several skills available and you will definitely find some very useful. For example adding stuff to shopping list or setting up a reminder.4. Understands the Indian accent very well. Sometimes I am amazed by how well it picks up stuff.6. Kids love it. An added advantage is that they can take help for homework and talking to alexa also motivates them to talk in English,0.24863354,Positive
5,962,"The media could not be loaded.  Such an amazing product it responds from where ever I call it from my room . It does slow down when my data internet is over its just amazing . It does play all musics from all languages it can tell jokes ,can turn lights tv etc on or off. It can speak and understand Hindi and EnglishIt plays all songs I have tried Telugu English and HindiIt does play what ever songs you wantAnd it can roast you or your friend anyoneYou can even call through thatI just love it",0.177777778,Positive
4,647,It's totally Paisa wasoolSpeaker is loudShe listen well to your commandI'm amazed with it music quality even when paired with mobile it plays loud but struggling to make a callHapppy me !,0.0625,Positive
4,233,"At first i was confused which one to buy - Google home mini or Echo dot. After considering few factors I decided to buy this echo dot 3rd gen.Pros:1) Sound quality and volume has improved a lot from previous gen.2) Alexa and Amazon services are more integrated with Indian market which the Google lacks. For example I can book uber cab,order food in zomato,order things from Amazon without even taking out my smartphone.3) It can used as a smart speaker,Bluetooth speaker and also it has 3.5 mm headphone jack.4) Amazon prime membership at Rs 999 per year is the most value for money subscription. You can stream in Amazon prime video, music from prime music, become an Amazon prime member, free kindle e books and many more.Google takes monthly Rs 99 for songs only.5) You can control smart lights and electronics from Philips, Xiaomi, Yeelight and other Alexa compatible devices.Cons:1) Let me be honest,Alexa can never beat Google assistant, Never(That's why I gave 4 stars)2) It has to be kept plugged in all the time,not battery powered (same is the case with Google home)So if you are looking for a smarter assistant to interact with, Google home is your choice. For all other uses Amazon echo speakers are better.",0.153869048,Positive
5,149,"I got it on sale for 3k. For the price, it offers decent sound and richer bass, compared to my much cheaper, 1.5k Bluetooth speaker, the Boat Stone 260. It works seemlessly with my smart home devices, and the app is fantastic. It yet doesn't have support with fire TV stick, but Amazon assures it'll arrive by mid-november, so that's something to look out for. The app works great, and you can control your smart home or this dot from anywhere in the world, as long both of your devices have an internet connection. It's a fun little party trick, really. I couldn't be more happier with my echo dot. Also, as you can see in the picture, I got the sophisticated looking white color ;)Edit: It has fire TV support now, it's not the best experience, but hey - it WORKS.",0.269874339,Positive
2,153,Rate of speech cannot be altered. Specially in bedtime stories. Children don't understand the fast English.Accent is pathetic.Kids can't understand the accent.It's a good music player but poor assistant.Many a times the MIC doesn work.The biggest problem is the search. criteria. There is a lot of information which is on google that it deliberately does not pick. It searches only from amazon search engine/wikipedia.,0.171428571,Positive
1,71,I bought this product to gift some one else and now I come to know that the product (wipro smart bulb) is faulty its not changing color.not satisfied with this deal.,0.357142857,Positive
4,61,"Alexa is very good but came with defective smart bulb..., took very much time for setting and now Alexa is replying 'device is not compatible'. Now the smart bulb is working as a normal bulb of Rs. 25/-",0.349714286,Positive
1,128,"This device does not have integration with Fire TV in INDIA ONLY !!. So, if you don't have smart plug and smart switches then only thing you can do with this device is play music. not worth paying 3000 for getting voice command support for playing music only.",0.046428571,Positive
1,83,"Even the best devices can be ruined by poor software and bad UI. This is a classic case of a good device such as the Echo dot 3rd gen let down by horrendous software. In terms of sheer sound quality and ability to hear you across the room, the ED 3rd blows google home mini right out of the water, and... that's where it stops.I bought it for 2299 and got a wipro bulb free, I figured that it couldn't be a bad purchase. Boy was I wrong!Let's begin with the Alexa app, whoever is in charge of making that app should be sent back to 2012. Remember when you had no clue whether you tapped on a button or not because the taps weren't highlighted? Remember how everything used to be unresponsive back then? Yeah, that's Alexa app for you. SD 855 and 8gigs of ram on your phone? LoL, Alexa don't care! The layout, the buttons in the app, the navigation, ugh.. takes me back to the 90's. A big zero on ease of use or navigational hierarchy. Forget Grandpa, even millennials would have a hard time with this app!What about voice recognition? 50% of the time, it does not recognize you every time.Smartness: The lack of smartness is displayed when you start asking follow up questions. ""Who is the tallest man?"" It'll give you the answer, but if you follow up with ""how tall is he?"". Alexa will go berserk. Heralding a device that can control your lights or turn on the TV as a miraculous achievement is a blatant lie. Controls via commands is nothing new, people in the coding community have done so with raspberry pi's before. What makes it smart is the incousion of AI and machine learning that understands patters and recognizes speech slurs. Something google does and constantly thrives to improve upon.Microphones: There are 4 and they are good, they can hear you from 10 feet away under normal circumstances. Far better than Goggle home mini.Connectivity issues: Wuff, this is one of the biggest issues I faced. Connection is not as easy and simple as that 3 slide image says on the description. Turn on Bluetooth, location, wifi, then look at the app for a Echo-something-th8, it didn't show up! Great, now do the manual labour and get it connected. Even after connection you're gonna get ""updating your device for 10 minutes"".Integration with other smart devices: Wanna connect the wipro bulb with Alexa? First download the wipro smart home app, create an account so that you can be spammed for the rest of your life, then set up that app and device. Next, head over to Alexa, download the wipro skill app for alexa, set it up and congratulations, you can now control lights with latency issues rivaling that of a 56k modem. What's worse, I now have an app on my phone that I only used once in my life but cannot for the love of god uninstall because that stops the bulb from working. VERY SMART!Music: Wanna listen to music on this speaker from your favorite streaming service? Unless it's Amazon music, Saavn or iTunes, your sh!t our of luck. Even though Spotify launched nearly a year ago, there's no way to get Spotify playing on the device natively unless you change device region to Amerika.Speed: You can stream Netflix at 4k? That's great, Alexa don't care! Ask a question, go brew a coffee, fix that leaking faucet, sign up for a banking loan and then, only then perhaps you would get your answer. Now that's an exaggeration but when you compare Alexa's speed in terms of genuine questions as opposed to responding to commands like ""turn off the light"", it is the slowest. Google>Siri>Cortana>your neighbor's pigeon >Alexa.I could go on, but I'll stop here and sulk myself with buyer's remorse.",0.162885062,Positive
5,51,The media could not be loaded.  It's just amazing. I bought it for my son. And he is loving it like crazy. The perfect smart speaker with reasonable price. Must buy product if you want to buy a smart speaker. And I bought it Ina combo with light. And it's working super fine.,0.337857143,Positive
5,104,"Presently there are two major competitors for smart speakers in India i.e., Amazon echo dot and Google home mini. I am user of both. Trust me Amazon echo has nailed their product by this 3rd generation upgrade.->Beautiful modern look with good sound and super microphone sensitivity. Google home with its 2 microphone is far behind on picking user command especially when music is on as compared to alexa(4 microphones). So hardware wise Echo dot(3rd gen) is clearly winner with louder sound, better bass and better microphone sensitivity.->Alexa response time is faster plus it hears me out in most of noisy situations. I literally have to shout to google home sometimes.->Music listening experience is breeze on alexa with prime account. Amazon music is tailored made for India having songs and playlist for festival occasions. Google music doesn't have festival playlist. Google music team doesn't pay heed to Indian festivals and occasions. I couldn't find diwali playlist on Google Music(being a pro member). Moreover Alexa is quick on catching keywords whereas Google is slow and sometimes unable to catch keywords. Moreover google home interaction with gaana and saavn is not perfect. It doesn't able to find songs many times even if song is there on Gaana(being pro user).->Google home is better for continued conversations because it knows context but I think conversation with these devices dies out after few days of excitement. And then you only use these for doing daily jobs- playing news, songs, reminders, questions and answers, alarms in which alexa is better(due to its hardware advantage). Although I wish Amazon add context conversation to Alexa along with voice profile feature(multi user voice recognition) which is present on Google home.->Google home has one major advantage that it supports hindi language(commands and response). I wish Amazon add this feature to alexa.->Lastly Alexa has vast collection of skills in India- playing radio stations, flight search and price(cleartrip integration), zomato restuarant suggestion and food ordering, ola and uber cab booking, railways pnr enquiry and train availability, hindi jokes(better than on google home), meditation, exercise, devotional songs, and many more. Google home is lacking on many of these useful skills like flight search and price, ola, uber, zomato,radio stations, train availability, etc.->Alexa integration with amazon firestick is on its way according to Alexa Indian team. So it is an useful addition of feature for those who have amazon firestick.Conclusion->If you are a prime user, Amazon echo dot is the best choice for you among all competitors. If you are buying for your family or someone else not comfortable with english, then Google home is your only choice right now(as it supports hindi language).UPDATE!!!-> Amazon has brought in much requested contextual conversation and continued conversation feature to Alexa like in Google home known as ""Follow-Up Mode"" which can be enabled from settings.",0.198643411,Positive
5,46,Bhut hi Achha hai aur bhut achhe se kam karta hai,0,Neutral
5,95,"I bought 3rd gen Echo Dot.... here are some pros and cons:Pro's.1. Great improvement in sound quality when compared to the 2nd generation DOT.2. Alexa understands Indian accent well and the one sold here is customized only for India.3. Design and build quality is very good. I liked the fabric design over the plastic on the 2nd gen DOT4. Just say what you want to buy from Amazon and it will purchase/add it to your cart. Alexa will buy it provided you have given her permissions, it can be controlled using Alexa app on your mobile.5. You can make her connect to a bigger speaker using bluetooth or Aux for better quality sound.6. Alexa can play songs of your choice from Amazon prime music as well as Tune-in radio. You can enable other radio stations aswell.7. The best part of Alexa is that she can set reminders, to do lists and Alarms. She can set multiple alarms and reminders.8. You can ask her any random questions, calculations, general knowledge etc.Cons.1. You need Amazon prime subscription to search and play for songs. I won't recommend Echo to anyone without Prime subscription.Over all I'm happy with Alexa. She is a good smart companion. Alexa is intelligent and there are lot of things you can do, just some spent time with her and you will be amazed. Amazon will be enabling Alexa with more skills, it's a worth buying.....",0.311331169,Positive
1,96,1.we have to talk nearby.2. And general skills not performing well. 3. Any thing you required you have to tell. 4 its only a machiene we cannot talk with that 5 . Every time we require high speed internet.6 if playing some thing we have to shout when we need to chane,0.07,Positive
1,85,"Waste item,nothing free ,if we will ask to play one song means alexa will tell you should subscribe amazon prime.only weather will come freely.no inbuilt battery, no power means no alarm completely waste product.why you should spend money unnecessary to this waste product.they wont give at least one month free prime membership also ...",-0.071428571,Negative
3,42,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart! Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly.",0.174126984,Positive
